Node,Type,Description
add_arrow,alteration,Add arrows to the end(s) of an open path or midpoints of a shape
add_unicode,text,Replace U+code with unicode characters in a string - REQUIRES UNICODE.PY
adjust_fill,color,Change individual fill color properties for a set of objects
adjust_point,alteration,Adjust a point within a path - REQUIRES contours.py ONLY if path has contours
align_labels,text,Align a column of labels
align_nums,text,Align and format a column of numbers centered on their decimal points
alt_grid,point,Create grid with options for alternating indents and zigzagging
angle_field,math,Computes the direction from points to the nearest part of a shape
apply_color,color,"Change a shape's fill, stroke, and strokeWidth based on a reference object"
apply_ramp,animation,Use a curve as a ramp to change values during an animation
arc_measure,math,Returns degrees between start and end angles
arc_wave,geometry,Wrap sine waves along an arc
arccos,math,Given value between -1 and 1 returns arccosine in radians or degrees
area,math,Returns area of a closed polygon
arrange,alteration,Arrange objects in tidy stacks
arrow,geometry,Draws an arrow with many style options
attraction,math,Computes normalized minimum distance from points to a shape
average,math,"Given a list of numbers returns mean, median, mode(s), or mid-range"
balloons,geometry,"Draws a bunch of balloons, colored randomly if no colors are supplied"
blend_color,color,Blend a translucent foreground with a solid background
bound_box,geometry,Create a bounding rect around an object
bounds,math,Constrain values within upper and/or lower bounds
branches,geometry,Divide a container into regions using an organic branching pattern
canvas,geometry,Returns a white rectangle with width and height of current canvas - REQUIRES CANVAS.PY
change_col,data,Replace a column with modified data or add new one
change_color,color,Change individual color properties for a set of colors
charpath,text,Create separate textpaths for each character in a text
circle_circle,point,Finds intersections between two circles
clean,alteration,Removes duplicate consecutive points in a path - fixes some artifacts in PNG exports
clip,alteration,Clips to boundary restoring fill and stroke colorization
clockwise,other,Returns true if points in a path are in clockwise order
color_brewer,color,Choose a color palette based on the Color Brewer system
colors,color,Returns a range of colors
combos,other,Generate a list of all possible ways to choose k items from a set of n elements
complement,color,Create complementary colors
concat_list,list,Concatenates a list of strings into a single string - REQUIRES CONCAT_LIST.PY
contours,alteration,Separates path into distinct contours
contrast,color,Set fill color of a shape for contrast against a dark or light background
convert_base,math,Convert value from one base to another - REQUIRES CONVERT_BASE.PY
convert_date,other,Converts dates using Java SimpleDateFormat - REQUIRES DATEFORMAT.CLJ
corner,point,Returns a corner or midpoint in the boundary of a shape
crossings,point,Finds points where linear paths join or cross
curve,geometry,Draws quadratic curve with two control points
dashed_line,geometry,Create a dashed line
dec_to_bin,math,Convert decimal to binary up to 32 bits
diamonds,geometry,Create a grid of diamonds
diff_list,list,"Given lists A and B, returns items in A but not B, B but not A, or in both"
diff_table,data,"Given tables A and B, returns rows with items in A but not B, B but not A, or both A and B"
dilute,color,Dilutes a color in a variety of ways
distinct_pts,point,Remove duplicate points within a given closeness
distribution,data,"Makes distribution table from a source table, key, and range of possible values"
divide_safe,math,Divides without division by zero error
donut,geometry,"Create a donut, pie, or stacked bar chart"
draw_points,alteration,Draw a path's blue endpoints and red control points
draw_table,text,Draw a table similar to the data view of the input table
drop_cols,data,Drop or keep a subset of columns
drop_last,list,Take all but the last item of a list
easing,animation,Applies selected easing function to produce changing values over time
even_sample,alteration,"Distribute points evenly across entire path, curves only, or joints only"
explode,alteration,Explodes path into individual lines and curves
exponential,animation,Change values over time at an exponential rate
factorial,math,Calculate exact value of n! as a string up to n=170
fade,animation,Adjust alpha (0 to 100) of shapes or geometries
fancy_star,geometry,Create a well proportioned star shape with coloring options
fast_gradient,color,Apply a simple linear gradient based on one color
find_arc,geometry,Finds an arc between two points
find_item,list,Returns all indices where target occurs in a source list
find_radius,math,Finds radius of a polygon with a given side length
find_substr,list,Returns all indices of target substring within source string
find_T,math,Find the T percentage in a path closest to a given point
fit_curve,alteration,Finds a curve that passes through all points in a path
fit_true,alteration,Fit a shape within bounds without distorting stroke widths
font_table,text,Returns a table of system fonts - REQUIRES FONT_TABLE.PY
fragments,geometry,Returns shapes arising in the spaces between overlapping shapes
gear,geometry,"Create an adjustable, working gear"
good_center,point,Find a reasonable center point inside a shape
gradient_L,color,Apply a linear color gradient to a shape or path
gradient_R,color,Apply a radial color gradient to a shape or path
gradual,math,Create a list of numbers that gradually change
grid_plus,point,Create a grid of points sized by cell width and height with options for a limit and different orders
halton_scat,point,Scatter points within the boundaries of a shape using the Halton Sequence
hcl_color,color,Create an HCL color
hexagons,geometry,Create a grid of hexgons
hilbert,geometry,Create a Hilbert-like curve filling a rectangular area - REQUIRES GILBERT2D.PY
identify,other,Returns a Nodebox-friendly class identity for a given item
image,geometry,Opens an image file and returns sample or masked portion as a pixel group - REQUIRES IMAGE.PY
indices,list,Returns a list of indices to enumerate items in the input list
inscribe,alteration,Inscribe a shape centered inside another shape
int_part,other,Generate a list of all possible ways of writing n as the sum of positive integers
inter_color,color,Return intermediate shade between two colors
intrsct_circle,point,Finds intersections between a line and an ellipse
intrsct_curve,point,Finds intersections between a line and a cubic bezier curve
intrsct_line,point,Finds intersection between two lines
intrsct_path,point,Finds intersections between a line and a path
is_closed,other,Returns true if path is closed; paths with multiple contours treated as closed
iso_paper,geometry,Create adjustable isometric grid paper
join,alteration,Join a list of paths into a single seamless path
join_contours,alteration,Join contours into a single path - REQUIRES CONTOURS.PY
kern,text,Creates a kerned text path
key_table,other,Display a table showing valid keys and sub-keys
labelmaker,text,Place and render consistently sized labels inside a common shape
line_break,text,Insert line breaks into a string using a specified separator
list_files,list,Given folder path returns top level files in that folder - REQUIRES LIST_DIR.PY
list_folders,list,Given folder path returns top level subfolders - REQUIRES LIST_DIR.PY
luma,color,Converts a color to a luma value between 0 and 1
luma_colors,color,Generate random colors matching a specifed luma value
mask,alteration,Returns segments of path inside or outside mask
merge_table,data,Merges two tables
mesh,geometry,Create line segments connecting neighboring points
metaballs,geometry,Returns shapes arising from unions of overlapping shapes
mix,list,Mix multiple lists into one
morph_color,color,"Gradually change a shape's fill, strokeColor, and strokeWidth based on a reference object"
